palavra,casa,arquivo,raridade,posicao,cadeia,sentido,sentido_de
ABRAÇAR,acao,verb.contact,conhecida,5447,abraçar > agarrar com firmeza > agarrar > segurar,envolver com os braços,Wikcionário
ACELERAR,acao,verb.motion,rara,7562,acelerar > andar,mover muito rápido,OpenWordnet-PT
ALIMENTAR,acao,verb.consumption,conhecida,2968,alimentar > abastecer > dar > transferir,fornecer alimento a,Wikcionário
AMARRAR,acao,verb.contact,rara,7154,amarrar > fixar > anexar > juntar,"prender ou fixar com uma corda ou cabo; ""Eles amarraram a vítima na cadeira""",OpenWordnet-PT
ANDAR,acao,verb.motion,comum,715,andar,"locomover-se com as pernas, dando passos; caminhar",Wikcionário
APERTAR,acao,verb.contact,conhecida,4036,apertar > bater,exercer pressão ou força sobre,OpenWordnet-PT
ARRANCAR,acao,verb.contact,conhecida,3988,arrancar > arredar > deslocar,tirar da terra,Wikcionário
ARRASTAR,acao,verb.contact,rara,8243,arrastar > arredar > deslocar,"puxar, contra uma resistência; ""Ele arrastou a mala grande atrás dele""; ""Estas preocupações foram arrastando ele""",OpenWordnet-PT
ARROMBAR,acao,verb.contact,rara,13325,arrombar > acertar > bater,fazer rombo em; quebrar; romper,Wikcionário
ATERRISSAR,acao,verb.motion,rara,14089,aterrissar > chegar,retornar à terra,Wikcionário
BALANÇAR,acao,verb.motion,rara,8738,balançar > oscilar > deslocar,mover ou andar de uma forma oscilante ou balançando,OpenWordnet-PT
BARBEAR,acao,verb.body,rara,11177,barbear > cuidar-se > embelezar > aperfeiçoar,,
BEBER,acao,verb.consumption,comum,810,beber > consumir,beber liquidos,OpenWordnet-PT
BEIJAR,acao,verb.contact,conhecida,2465,beijar > bater,oscular; dar beijo (ósculo),Wikcionário
BRIGAR,acao,verb.competition,conhecida,2951,brigar,"estar envolvido em uma briga; continuar uma luta; ""os homens da tribo lutaram entre si""; ""Os irmãos estão sempre brigando""; ""Grupos militantes estão lutando pelo controle do país """,OpenWordnet-PT
CAMINHAR,acao,verb.motion,conhecida,3410,caminhar,locomover-se mantendo sempre um dos pés no chão,Wikcionário
CANTAR,acao,verb.creation,comum,1119,cantar > conversar > comunicar > interagir,expressar por canto,OpenWordnet-PT
CAVALGAR,acao,verb.motion,rara,10378,cavalgar > andar,andar a cavalo,Wikcionário
CAVAR,acao,verb.contact,conhecida,5439,cavar > cortar > dividir > deslocar,"fazer um buraco, especialmente com uma ferramenta manual; ""não perfure aqui, há um cano de gás""; ""furar a parede""; ""perfure para o óleo "";"" os cupins furam buracos na parede """,OpenWordnet-PT
CAÇAR,acao,verb.motion,conhecida,3433,caçar > perseguir > andar,ir atrás com a intenção de pegar,OpenWordnet-PT
CHORAR,acao,verb.body,comum,1543,chorar > expressar sentimentos,"derramar lágrimas de tristeza, raiva, ou dor; ""ela chorou amargamente quando soube da morte dele""; ""a menina na cadeira de rodas chorava de raiva de não conseguir subir as escadas""",OpenWordnet-PT
CHUPAR,acao,verb.consumption,conhecida,6959,chupar > beber > consumir,"puxar para a boca criando um vácuo prático na boca; ""sugar o veneno do lugar onde a cobra mordeu""; ""chupar em um canudo ""; "" o bebê chupava o seio da mãe """,OpenWordnet-PT
COMBATER,acao,verb.competition,conhecida,6572,combater > brigar,lutar ou brigar contra algo ou como em uma batalha,OpenWordnet-PT
COMER,acao,verb.consumption,comum,458,comer > consumir,"ingerir comida sólida; ""ela estava comendo uma banana""; ""oque você comeu de jantar noite passada""",OpenWordnet-PT
COMPETIR,acao,verb.competition,conhecida,5230,competir,competir por alguma coisa; se envolver em uma competição; medir-se em relação aos outros,OpenWordnet-PT
CONSTRUIR,acao,verb.creation,comum,1920,construir > causar,"juntar diferentes elementos para formar um todo, edificar",Wikcionário
CORRER,acao,verb.motion,comum,1067,correr > acelerar > andar,"mover rápido usando os pés, com um pé fora do chão a qualquer momento",OpenWordnet-PT
CORTAR,acao,verb.contact,comum,1436,cortar > dividir > deslocar,separar ou dividir por meio de corte,Wikcionário
COZINHAR,acao,verb.creation,conhecida,2581,cozinhar > confeccionar > causar,"preparar alimentos ao calor (geralmente fogo), principalmente dentro de líquidos",Wikcionário
COÇAR,acao,verb.contact,rara,14953,coçar > cortar > dividir > deslocar,cortar ou desgastar a superfície de algo,OpenWordnet-PT
CURAR,acao,verb.body,conhecida,3625,curar > ajudar > aperfeiçoar > alterar,restabelecer a saúde de,Wikcionário
CUSPIR,acao,verb.body,rara,10227,cuspir > ejetar,expulsar ou ejetar (saliva ou catarro ou expectoração) da boca,OpenWordnet-PT
DANÇAR,acao,verb.motion,comum,1164,dançar > deslocar,mover-se ritmadamente ao som de uma música,Wikcionário
DECOLAR,acao,verb.motion,rara,8311,decolar > departir > ir,sair do chão (diz-se de aparelhos voadores),OpenWordnet-PT
DEITAR,acao,verb.contact,conhecida,3750,deitar > botar > deslocar,colocar na cama,Wikcionário
DERRAMAR,acao,verb.motion,rara,10386,derramar > deslocar,fazer correr,OpenWordnet-PT
DESCANSAR,acao,verb.contact,comum,1684,descansar > estar,Não se mover; estar em uma posição de repouso,OpenWordnet-PT
DESCER,acao,verb.motion,comum,1739,descer > andar,"descer ou baixar, não necessariamente até o fim",OpenWordnet-PT
DESLIGAR,acao,verb.contact,conhecida,2412,desligar > ligar > engajar > deslocar,causar parar de funcionar por desligar um interruptor,OpenWordnet-PT
DORMIR,acao,verb.body,comum,495,dormir > cochilar > estar deitado,estar dormindo,OpenWordnet-PT
EMBARCAR,acao,verb.motion,rara,9098,embarcar > deslocar,,
EMPURRAR,acao,verb.motion,conhecida,5452,empurrar > deslocar,mover com força,OpenWordnet-PT
ENCARAR,acao,verb.perception,conhecida,3507,encarar > mirar,olhar de frente e fixamente; fitar,Wikcionário
ENGOLIR,acao,verb.consumption,conhecida,6284,engolir > consumir,"passar pelo esôfago, uma etapa de comer ou beber; ""Engula o peixe cru - não vai te matar!""",OpenWordnet-PT
ENGRAVIDAR,acao,verb.body,rara,9357,engravidar > mudar > alterar,,
ENTRAR,acao,verb.motion,comum,323,entrar,passar para dentro,Wikcionário
ENXERGAR,acao,verb.perception,rara,7215,enxergar > aperceber-se,ver a custo,Wikcionário
ERGUER,acao,verb.motion,rara,12253,erguer > deslocar,levantar; erigir; pôr de pé,Wikcionário
ESCALAR,acao,verb.motion,rara,8048,escalar > deslocar,"subir, montar",Wikcionário
ESCONDER,acao,verb.perception,comum,1258,esconder,"pôr em lugar onde fique oculto, onde não se veja ou haja mais dificuldade em ver ou encontrar",Wikcionário
ESCOVAR,acao,verb.contact,rara,13183,escovar > esfregar > correr,ato ou efeito de utilizar uma escova,Wikcionário
ESCUTAR,acao,verb.perception,conhecida,2473,escutar > aperceber-se,prestar atenção auditiva; dar ouvidos,Wikcionário
ESMAGAR,acao,verb.contact,rara,7477,esmagar > apertar > bater,apertar ou pressionar com força de modo a destruir ou deformar,Wikcionário
ESPIAR,acao,verb.perception,rara,12587,espiar > mirar,lançar um olhar; dar uma breve olhada,OpenWordnet-PT
ESTACIONAR,acao,verb.contact,rara,7455,estacionar > botar > deslocar,deixar o veículo parado à beira da estrada ou do passeio,Wikcionário
FERIR,acao,verb.body,conhecida,4471,ferir > aleijar > indispor > alterar,provocar ferimentos ou danos corporais em alguém,OpenWordnet-PT
FLERTAR,acao,verb.perception,rara,13502,flertar > mirar,namoricar; cortejar,Wikcionário
FUMAR,acao,verb.consumption,conhecida,2428,fumar > consumir,"inalar e exalar fumaça de cigarros, charutos e cachimbos; ""Nós nunca fumamos maconha""; ""Você fuma?""",OpenWordnet-PT
FURAR,acao,verb.contact,rara,11536,furar > cortar > dividir > deslocar,"fazer um buraco, especialmente com uma ferramenta manual; ""não perfure aqui, há um cano de gás""; ""furar a parede""; ""perfure para o óleo "";"" os cupins furam buracos na parede """,OpenWordnet-PT
IMITAR,acao,verb.creation,rara,11096,imitar > reproduzir > construir,fazer exatamente o que faz uma pessoa ou animal,Wikcionário
INJETAR,acao,verb.body,rara,14913,injetar > administrar > tratar,forçar liquido em (por meio de injeção),Wikcionário
INVADIR,acao,verb.competition,conhecida,4508,invadir > assaltar > brigar,"marchar agressivamente na direção de outro território utilizando de força militar para efeitos de conquista e ocupação; ""Hitler invadiu a Polônia em 01 de setembro de 1939 """,OpenWordnet-PT
LAMBER,acao,verb.contact,rara,10221,lamber > afagar > bater,passar a língua sobre; devorar; engolir; consumir,Wikcionário
LEVANTAR,acao,verb.contact,comum,1624,levantar > descansar > estar,pôr em pé,Wikcionário
LUTAR,acao,verb.competition,comum,865,lutar,"estar envolvido em uma briga; continuar uma luta; ""os homens da tribo lutaram entre si""; ""Os irmãos estão sempre brigando""; ""Grupos militantes estão lutando pelo controle do país """,OpenWordnet-PT
MARCHAR,acao,verb.motion,rara,12509,marchar > andar,"andar, caminhar",Wikcionário
MASTIGAR,acao,verb.consumption,rara,13007,mastigar > ranger > fragmentar > desmoronar,"mastigar (alimentos); morder e triturar com os dentes; ""Ele mascou seu chiclete""; ""mastigue seu alimento e não engula!""; ""As vacas foram mascar a grama """,OpenWordnet-PT
MATAR,acao,verb.contact,comum,318,matar,"causar a morte; levar a morte, geralmente intencionalmente ou conscientemente",OpenWordnet-PT
MORDER,acao,verb.contact,conhecida,6382,morder > agarrar,"apertar, cortar ou rasgas com ou como se fosse com os dentes maxilas; ""Gunny invariavelmente tentava morder ela""",OpenWordnet-PT
NADAR,acao,verb.motion,conhecida,2949,nadar > andar,"deslocar-se na água ou sustentar-se sobre ela usando recursos do próprio corpo (pés, mãos, braços, pernas, nadadeiras, cauda etc.)",Wikcionário
NAVEGAR,acao,verb.motion,rara,8824,navegar > andar,viajar a uma velocidade moderada,OpenWordnet-PT
OLHAR,acao,verb.perception,comum,565,olhar > aperceber-se,,
OUVIR,acao,verb.perception,comum,376,ouvir > aperceber-se,perceber sons,Wikcionário
PASSEAR,acao,verb.motion,conhecida,4460,passear > andar,andar,Wikcionário
PENDURAR,acao,verb.contact,rara,7839,pendurar,suspender,Wikcionário
PILOTAR,acao,verb.motion,rara,8368,pilotar > controlar > manejar > manusear,"governar, como piloto",Wikcionário
PISAR,acao,verb.motion,rara,7535,pisar > andar,colocar os pés sobre,Wikcionário
PISCAR,acao,verb.body,rara,7930,piscar > agir involuntariamente > agir,rápido fechar dos olhos,OpenWordnet-PT
POUSAR,acao,verb.motion,rara,7016,pousar > chegar,,
PRESSIONAR,acao,verb.contact,rara,7737,pressionar > bater,exercer pressão ou força sobre,OpenWordnet-PT
PROTEGER,acao,verb.competition,comum,1034,proteger > defender > atrapalhar,"defender do perigo, lesão, destruição ou dano; ""Weatherbeater protege o telhado da chuva""",OpenWordnet-PT
RASGAR,acao,verb.contact,rara,10074,rasgar > dividir > deslocar,fazer rasgões em,Wikcionário
RASTEJAR,acao,verb.motion,rara,14032,rastejar > andar,seguir o rasto de,Wikcionário
RECONSTRUIR,acao,verb.creation,rara,8629,reconstruir > construir > causar,construir de novo,Wikcionário
RELAXAR,acao,verb.body,conhecida,2576,relaxar > mudar > alterar,"ficar menos tenso, descansar ou pegar leve",OpenWordnet-PT
RESPIRAR,acao,verb.body,conhecida,2132,respirar,executar a função da respiração,Wikcionário
RIR,acao,verb.body,comum,1938,rir > expressar sentimentos,produzir riso,OpenWordnet-PT
RODAR,acao,verb.motion,rara,8920,rodar > andar,mover ao longo de ou como se sobre rodas ou um veículo com rodas,OpenWordnet-PT
ROLAR,acao,verb.motion,conhecida,4946,rolar > tornar-se > deslocar,mover-se virando ou girando,OpenWordnet-PT
SACUDIR,acao,verb.motion,rara,14709,sacudir > deslocar,"agitar(-se) em vários sentidos, forte e sucessivamente; fazer tremer, estremecer(-se); pôr em movimento",Wikcionário
SANGRAR,acao,verb.body,rara,7295,sangrar > ejetar,verter ou perder sangue,Wikcionário
SENTAR,acao,verb.contact,comum,1096,sentar,colocar em assento,Wikcionário
SENTIR,acao,verb.perception,comum,519,sentir > aperceber-se,perceber por qualquer dos sentidos,Wikcionário
SOCAR,acao,verb.contact,rara,13240,socar > acertar > bater,Dar uma pancada ou empurrão,OpenWordnet-PT
SONHAR,acao,verb.creation,conhecida,5281,sonhar > conjecturar > imaginar > causar,ter experiência do sonho durante o sono,Wikcionário
SORRIR,acao,verb.body,conhecida,4603,sorrir > fazer careta > comunicar > interagir,esboçar sorriso; rir de leve,Wikcionário
SUAR,acao,verb.body,rara,11073,suar > expelir > ejetar,"transpirar, emitir suor pelos poros da pele",Wikcionário
SUGAR,acao,verb.consumption,rara,7394,sugar > beber > consumir,"puxar para a boca criando um vácuo prático na boca; ""sugar o veneno do lugar onde a cobra mordeu""; ""chupar em um canudo ""; "" o bebê chupava o seio da mãe """,OpenWordnet-PT
TRANCAR,acao,verb.contact,rara,7254,trancar > fixar > anexar > juntar,"prender com um cadeado; ""tranque a moto na cerca""",OpenWordnet-PT
TREMER,acao,verb.motion,rara,9999,tremer > deslocar,"vibrar, sacudir, fazer oscilar, chacoalhar",Wikcionário
VASCULHAR,acao,verb.contact,rara,12546,vasculhar > buscar > examinar,"pesquisar exaustivamente; ""Eles vasculharam a área pela criança desaparecida""",OpenWordnet-PT
VENCER,acao,verb.competition,comum,1546,vencer,,
VESTIR,acao,verb.body,conhecida,2213,vestir,estar vestida,OpenWordnet-PT
VIAJAR,acao,verb.motion,conhecida,2045,viajar,"ir de um lugar para outro, geralmente distante",Wikcionário
VOAR,acao,verb.motion,comum,1760,voar > andar,viajar através do ar,OpenWordnet-PT
ABORRECER,dificil,verb.emotion,rara,12697,aborrecer > desagradar,"Causar irritação, perturbar, especialmente por coisas menores",OpenWordnet-PT
ADORAR,dificil,verb.emotion,conhecida,3360,adorar > gostar,ter o prazer de,OpenWordnet-PT
AFEIÇÃO,dificil,noun.feeling,rara,12467,afeição > abalo > emoção > condição,ato ou efeito de afeiçoar; ternura; afecto; amizade; amor,Wikcionário
AFETO,dificil,noun.feeling,rara,10118,afeto > emoção > condição > atributo,sentimento de amizade e ternura para com outrem; afeição; amor,Wikcionário
AGRADAR,dificil,verb.emotion,conhecida,6152,agradar,alisar o terreno com grade; gradar; desterroar,Wikcionário
ALÍVIO,dificil,noun.feeling,conhecida,4925,alívio > conforto > prazer > emoção,ato de aliviar,Wikcionário
AMAR,dificil,verb.emotion,comum,1435,amar,,
AMBIÇÃO,dificil,noun.feeling,conhecida,6641,ambição > anseio > emoção > condição,"desejo forte de fortuna, de glória, de honrarias, de poder ou de outra coisa qualquer, dependendo do contexto",Wikcionário
AMOR,dificil,noun.feeling,comum,233,amor > abalo > emoção > condição,"sentimento de gostar muito de outra pessoa ou coisa, de forma a querer e fazer o bem para essa pessoa, ser vivente ou mesmo coisa",Wikcionário
ANGÚSTIA,dificil,noun.state,rara,11881,angústia,estado de sofrimento,Wikcionário
ANIMAÇÃO,dificil,noun.state,rara,11149,animação > Existência > condição > atributo,ato ou efeito de dar vida ou alma a,Wikcionário
ANSIEDADE,dificil,noun.state,conhecida,6494,ansiedade,angústia,Wikcionário
APETITE,dificil,noun.feeling,conhecida,4951,apetite > emoção > condição > atributo,vontade de comer,Wikcionário
ARREPENDER,dificil,verb.emotion,conhecida,4019,arrepender > experimentar,estar arrependido,OpenWordnet-PT
ASSUSTAR,dificil,verb.emotion,conhecida,3653,assustar > comover > concitar > causar,causar medo em,OpenWordnet-PT
AZAR,dificil,noun.phenomenon,conhecida,4045,azar > fenómeno > processos físicos > entidade física,má sorte,Wikcionário
BRISA,dificil,noun.phenomenon,rara,7659,brisa > vento > clima > fenômeno atmosférico,vento suave,Wikcionário
CALOR,dificil,noun.phenomenon,comum,1784,calor > energia,sensação experimentada em um ambiente aquecido ou ao tocar um objeto quente,Wikcionário
CAMPEONATO,dificil,noun.state,conhecida,4993,campeonato,competição em que o vencedor tem o título de campeão,Wikcionário
CANSAR,dificil,verb.emotion,rara,10902,cansar,,
CAOS,dificil,noun.state,conhecida,3792,caos,espaço limitado e amorfo que precedeu à criação do cosmo,Wikcionário
CARINHO,dificil,noun.feeling,conhecida,5351,carinho > emoção > condição > atributo,"gesto afetivo entre dois indivíduos que pode envolver contato físico, ou palavras, ou um simples olhar",Wikcionário
CASAL,dificil,noun.state,comum,1847,casal > estado civil > situação legal > classe,par afetivo,Wikcionário
CASAMENTO,dificil,noun.state,comum,503,casamento > estado civil > situação legal > classe,,
CATÁSTROFE,dificil,noun.event,rara,9956,catástrofe > azar > problema > acontecimento,"acontecimento desastroso de grandes proporções, geralmente relacionado a fenômenos naturais",Wikcionário
CELEBRAÇÃO,dificil,noun.event,rara,7875,celebração > acontecimento,ato ou efeito de celebrar,Wikcionário
CERIMÔNIA,dificil,noun.event,conhecida,3160,cerimônia > acontecimento,atividades formais realizadas em alguma ocasião solene ou importante,Wikcionário
CHATEAR,dificil,verb.emotion,rara,11161,chatear > desagradar,"Causar irritação, perturbar, especialmente por coisas menores",OpenWordnet-PT
CHEIRO,dificil,noun.state,comum,1136,cheiro > ambiência > Estado > condição,"odor, aroma",Wikcionário
CHUVA,dificil,noun.phenomenon,comum,1860,chuva > precipitação > clima > fenômeno atmosférico,fenômeno recorrente em que ocorre precipitação de água em estado líquido em volume maior ou igual a gotas,Wikcionário
CICATRIZ,dificil,noun.state,conhecida,5734,cicatriz > sintoma > evidência > conhecimento,marca de um ferimento deixada na pele,Wikcionário
CIÚME,dificil,noun.feeling,rara,7251,ciúme > ciumes > amargura > aversão,,
COLISÃO,dificil,noun.event,rara,9209,colisão > toque > acontecimento > característica psicológica,choque,Wikcionário
CONCURSO,dificil,noun.event,conhecida,4006,concurso,,
DANO,dificil,noun.state,conhecida,3800,dano,qualquer dano físico ao corpo causado por violência ou acidente ou fratura etc,OpenWordnet-PT
DECEPCIONAR,dificil,verb.emotion,rara,9853,decepcionar > contrariar > bloquear,() causar decepção,Wikcionário
DECEPÇÃO,dificil,noun.feeling,rara,7855,decepção,desilusão,Wikcionário
DEMOLIÇÃO,dificil,noun.event,rara,14890,demolição > chegada > acontecimento > característica psicológica,ato ou efeito de demolir,Wikcionário
DERROTA,dificil,noun.event,conhecida,5493,derrota > chegada > acontecimento > característica psicológica,"destroço, desbarato de tropas; revés",Wikcionário
DESAPONTAR,dificil,verb.emotion,rara,12101,desapontar > contrariar > bloquear,causar desapontamento a,Wikcionário
DESEJAR,dificil,verb.emotion,conhecida,3637,desejar,sentir ou ter desejo por; querer fortemente;,OpenWordnet-PT
DESESPERO,dificil,noun.state,conhecida,5766,desespero > Estado > condição > atributo,aflição,Wikcionário
DESGRAÇA,dificil,noun.state,conhecida,5050,desgraça > desonra,infelicidade,Wikcionário
DISTRAIR,dificil,verb.emotion,rara,7776,distrair > confundir > constrangir > confundir,"mudar o foco da atenção, da concentração, do pensamento",Wikcionário
ECLIPSE,dificil,noun.event,rara,12443,eclipse > interrupção > acontecimento > característica psicológica,quando um corpo celeste obscurece outro,OpenWordnet-PT
EGOÍSMO,dificil,noun.feeling,rara,13224,egoísmo > auto-estima > emoção > condição,,
EMERGÊNCIA,dificil,noun.event,comum,1277,emergência > crise > conjuntura > acontecimento,situação de gravidade excepcional que obriga a tomar providências,Wikcionário
ENERGIA,dificil,noun.phenomenon,comum,846,energia,,
ENTERRO,dificil,noun.event,conhecida,6366,enterro > cerimónia > acontecimento,funeral,Wikcionário
ENTUSIASMO,dificil,noun.feeling,rara,7014,entusiasmo > emoção > condição > atributo,"veemência, vigor",Wikcionário
ESCURIDÃO,dificil,noun.state,conhecida,2613,escuridão > iluminação > condição > atributo,qualidade de escuro (melânio),Wikcionário
ESTRAGO,dificil,noun.event,rara,8775,estrago > alteração > acontecimento > característica psicológica,"deterioração, prejuízo, dano",Wikcionário
FELICIDADE,dificil,noun.state,comum,1963,felicidade > espírito > abalo > emoção,estado ou qualidade do que é feliz,Wikcionário
FOGUEIRA,dificil,noun.event,conhecida,5540,fogueira > fogo > acontecimento > característica psicológica,labareda,Wikcionário
FOME,dificil,noun.state,comum,838,fome,necessidade de comer ou grande apetite; sofreguidão,Wikcionário
FRUSTRAÇÃO,dificil,noun.feeling,rara,11949,frustração > decepção,emoção que ocorre nas situações onde algo obstrui o alcance de um almejo pessoal,Wikcionário
FUNERAL,dificil,noun.event,conhecida,2341,funeral > cerimónia > acontecimento,cerimônia de enterro,Wikcionário
FURACÃO,dificil,noun.phenomenon,rara,7136,furacão > Ciclones > vendaval > borrasca,,
FÚRIA,dificil,noun.feeling,conhecida,6550,fúria > cólera > abalo > emoção,um sentimento de raiva intensa,OpenWordnet-PT
GORDURA,dificil,noun.state,conhecida,5113,gordura > sujeira,,
GRATIDÃO,dificil,noun.feeling,conhecida,6346,gratidão > emoção > condição > atributo,reconhecimento do bem recebido,Wikcionário
GÁS,dificil,noun.state,conhecida,2063,gás > estados físicos da matéria,"estado fluido da matéria, sem forma definida, cujo volume é o do recipiente que o contém",Wikcionário
HONRA,dificil,noun.state,comum,1121,honra,"honestidade, integridade em suas crenças e ações",Wikcionário
HUMILHAR,dificil,verb.emotion,rara,10421,humilhar > magoar > concitar > causar,fazer sentir vergonha de alguma coisa,OpenWordnet-PT
ILUMINAÇÃO,dificil,noun.state,rara,8370,iluminação > Estado > condição > atributo,ato ou efeito de iluminar,Wikcionário
INAUGURAÇÃO,dificil,noun.event,rara,10012,inauguração > cerimónia > acontecimento,"abertura oficial ao público de uma construção, um edifício novo, etc",Wikcionário
INCIDENTE,dificil,noun.event,conhecida,3216,incidente > acontecimento > característica psicológica > abstração,"evento, fato que sobrevém no transcurso de um acontecimento principal",Wikcionário
INCÊNDIO,dificil,noun.event,conhecida,2253,incêndio > acontecimento > característica psicológica > abstração,fogo indesejado numa construção ou área de terra,Wikcionário
INSPIRAR,dificil,verb.emotion,rara,13163,inspirar > comover > concitar > causar,aumentar ou intensificar,OpenWordnet-PT
INTERESSAR,dificil,verb.emotion,rara,8438,interessar > concitar > causar,dar interesse a,Wikcionário
INTIMIDAR,dificil,verb.emotion,rara,12496,intimidar > comover > concitar > causar,causar medo em,OpenWordnet-PT
INUNDAÇÃO,dificil,noun.phenomenon,rara,14866,inundação,ato ou efeito de inundar,Wikcionário
INVEJA,dificil,noun.feeling,conhecida,3898,inveja > amargura > aversão > abalo,sentimento de desejar possuir aquilo que outro tem,Wikcionário
IRA,dificil,noun.feeling,conhecida,4398,ira > abalo > emoção > condição,uma emoção forte; um sentimento na direção de algum agravo real ou suposto,OpenWordnet-PT
IRRITAR,dificil,verb.emotion,conhecida,6489,irritar > desagradar,"Causar irritação, perturbar, especialmente por coisas menores",OpenWordnet-PT
LOUCURA,dificil,noun.state,comum,975,loucura > mania,qualidade ou estado de louco; insanidade,Wikcionário
LUAR,dificil,noun.phenomenon,rara,10247,luar > luz,luz do sol que é refletida pela Lua,Wikcionário
LUTO,dificil,noun.state,conhecida,4225,luto > pesar,dor causada pela morte de alguém ou por grande calamidade,Wikcionário
LUZ,dificil,noun.phenomenon,comum,608,luz,única radiação captada pelo olho humano,Wikcionário
MARÉ,dificil,noun.event,conhecida,6745,maré,movimento periódico de subida e descida das águas do mar,Wikcionário
MEDO,dificil,noun.feeling,comum,301,medo > abalo > emoção > condição,uma emoção vivida em antecipação de alguma dor ou perigo específico (geralmente acompanhada por um desejo de fugir ou lutar),OpenWordnet-PT
MILAGRE,dificil,noun.event,conhecida,2437,milagre > acontecimento > característica psicológica > abstração,algo que supostamente aconteceu e não tem explicação à luz da ciência da época,Wikcionário
MISÉRIA,dificil,noun.state,rara,7107,miséria,um estado de mal-estar devido à aflição ou azar,OpenWordnet-PT
NEVE,dificil,noun.phenomenon,conhecida,2046,neve > precipitação > clima > fenômeno atmosférico,,
NEVOEIRO,dificil,noun.phenomenon,rara,12420,nevoeiro > Aerossol > nuvem,,
NUVEM,dificil,noun.phenomenon,conhecida,5066,nuvem,"conjunto visível de vapores de água e de cristais de gelo em suspensão na atmosfera, que dão origem às chuvas",Wikcionário
